A,D,alpha, offset, min, max
0.0320000000000000006661,0.0269347998092649976165,90.0,90.0000000000000142109,-20.0,70.0
-0.0,-0.00549750000000000238476,-90.0,90.0,-29.9999999999999964473,29.9999999999999964473
0.0233646633351782505306,-0.142799999999999982503,-90.0,-104.99999492786972155,-50.0,50.0
-0.0,-0.106989110133286047244,90.0,89.9999999999999573674,-95.5,10.0
-2.32609163678971655497e-07,3.94469938130596173065e-08,90.0000000000000142109,90.0000000000000284217,0.0,160.800000000000011369
0.0150000000000000480171,-0.159060000000000006937,90.0,-104.99999492786972155,-37.0,80.0
0.0149999999999999977102,-1.38777878078144567553e-17,90.0,-179.999999999999943157,14.9999999999999982236,106.0
7.0000000000070006223e-06,-0.14230000000000003757,-90.0,89.9999999999947846163,-59.9999999999999928946,59.9999999999999928946
-0.0,-1.73472347597680709441e-18,-90.0,-90.0000000000000426326,-80.0,25.0
0.0592582408027778131943,-0.0250566999999999873161,-180.0,178.361103386001985882,-20.0,25.0
